Image_File,Class
clean2416.png,Large
ground4022.png,Small
ground0340.png,Small
ground2110.png,Small
clean1581.png,Large
clean0555.png,Large
ground0945.png,Small
ground0960.png,Small
ground1373.png,Small
ground2361.png,Small
clean3890.png,Large
clean0407.png,Large
clean1607.png,Large
ground2390.png,Small
clean1326.png,Large
ground0189.png,Small
ground1027.png,Small
ground5876.png,Small
clean5754.png,Large
clean2337.png,Large
ground1776.png,Small
ground0443.png,Small
clean2426.png,Large
ground3168.png,Small
clean5925.png,Large
ground3854.png,Small
ground0802.png,Small
clean0921.png,Large
clean2833.png,Large
ground3132.png,Small
clean0171.png,Large
ground4064.png,Small
clean2173.png,Large
ground4672.png,Small
ground2327.png,Small
clean5679.png,Large
ground4146.png,Small
clean1788.png,Large
clean5547.png,Large
clean0112.png,Large
clean3761.png,Large
ground5765.png,Small
clean2038.png,Large
ground4065.png,Small
ground0808.png,Small
ground1431.png,Small
ground1574.png,Small
ground4792.png,Small
clean5336.png,Large
ground2031.png,Small
clean2616.png,Large
ground0057.png,Small
ground4802.png,Small
ground1625.png,Small
clean4116.png,Large
ground2488.png,Small
clean2823.png,Large
ground4587.png,Small
clean2150.png,Large
clean4239.png,Large
clean0256.png,Large
ground4700.png,Small
ground3167.png,Small
ground1955.png,Small
ground4620.png,Small
clean0325.png,Large
ground4496.png,Small
ground5911.png,Small
ground0924.png,Small
ground5260.png,Small
ground4415.png,Small
ground0577.png,Small
clean5763.png,Large
clean3282.png,Large
ground1291.png,Small
clean2870.png,Large
clean3478.png,Large
ground5452.png,Small
clean1861.png,Large
ground0666.png,Small
ground2018.png,Small
clean4139.png,Large
ground2935.png,Small
clean4553.png,Large
ground3110.png,Small
ground0143.png,Small
ground0551.png,Small
clean4568.png,Large
ground4635.png,Small
clean2206.png,Large
ground4449.png,Small
ground5829.png,Small
clean0665.png,Large
ground3091.png,Small
ground3604.png,Small
clean3648.png,Large
ground0018.png,Small
ground5450.png,Small
clean2262.png,Large
clean5663.png,Large
clean0184.png,Large
ground4956.png,Small
clean5356.png,Large
clean3250.png,Large
clean2133.png,Large
ground4695.png,Small
clean2323.png,Large
ground0034.png,Small
clean3311.png,Large
ground3701.png,Small
clean0597.png,Large
ground0946.png,Small
clean0362.png,Large
ground1131.png,Small
clean5767.png,Large
ground5818.png,Small
ground4834.png,Small
clean5860.png,Large
ground4012.png,Small
clean1674.png,Large
clean4231.png,Large
ground3952.png,Small
clean1125.png,Large
ground2910.png,Small
ground1360.png,Small
ground0451.png,Small
ground2847.png,Small
ground0936.png,Small
clean3572.png,Large
ground2263.png,Small
clean5682.png,Large
ground5866.png,Small
ground0105.png,Small
clean5747.png,Large
ground3434.png,Small
ground5853.png,Small
clean0741.png,Large
ground5644.png,Small
ground3059.png,Small
clean0631.png,Large
ground1295.png,Small
ground5555.png,Small
clean4470.png,Large
ground3867.png,Small
clean4655.png,Large
clean1037.png,Large
